id,url,version_oficial,cilindrada_cc,cilindrada,power_hp,torque_nm,carroceria,categoria,traccion_spec,transmision_spec,tipo_caja,combustible_spec,puertas,asientos,cilindros,autonomia_km,peso_kg
CP-AD-8534254,https://www.chileautos.cl/vehiculos/detalles/2021-ford-explorer-2-3-xlt-ecoboost-4x4-at-5p/CP-AD-8534254,2.3 XLT ECOBOOST 4X4 AT 5P,2300.0,2.3,300.0,420.0,"SUV, 5 puertas, 7 asientos",SUV,4X4,Automática,Automática,Bencina,5.0,7.0,4.0,646.0,2012.0
CP-AD-8537029,https://www.chileautos.cl/vehiculos/detalles/2023-ford-f-150-5-0-xlt-cc-dob-cab-4x4-at-4p/CP-AD-8537029,5.0 XLT CC DOB. CAB. 4X4 AT 4P,5038.0,5.0,400.0,556.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,1129.0,2228.0
CP-AD-8486234,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-silverado-6-2-zr2-r-4x4-at-4p/CP-AD-8486234,6.2 ZR2 R 4X4 AT 4P,6200.0,6.2,420.0,624.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,618.0,3221.0
CP-AD-8515640,https://www.chileautos.cl/vehiculos/detalles/2024-peugeot-3008-1-5-allure-pack-bluehdi-130-4x2-eat8-5p/CP-AD-8515640,1.5 ALLURE PACK BLUEHDI 130 4X2 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1362.0,1429.0
CP-AD-8541027,https://www.chileautos.cl/vehiculos/detalles/2018-toyota-rav4-2-0-lujo-4x2-cvt-at-5p/CP-AD-8541027,2.0 LUJO 4X2 CVT AT 5P,1987.0,2.0,143.0,187.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,5.0,4.0,822.0,1610.0
GI-AD-889212,https://www.chileautos.cl/vehiculos/detalles/ford-ranger-ranger-dc-3-2-d-xlt-at-2023/GI-AD-889212,,,,,,,,,,,,,,,,
CP-AD-8534885,https://www.chileautos.cl/vehiculos/detalles/2022-mitsubishi-l200-2-4-katana-cr-diesel-special-pack-dob-cab-4x2-mt-4p/CP-AD-8534885,2.4 KATANA CR DIESEL SPECIAL PACK DOB. CAB. 4X2 MT 4P,2442.0,2.4,152.0,380.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X2,Manual,Mecánico,Diesel,4.0,5.0,4.0,1012.0,2760.0
CP-AD-8502279,https://www.chileautos.cl/vehiculos/detalles/2022-ford-ranger-3-2-xls-4x4-diesel-dob-cab-mt-4p/CP-AD-8502279,3.2 XLS 4X4 DIESEL DOB. CAB. MT 4P,3198.0,3.2,200.0,470.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Manual,Mecánico,Diesel,4.0,5.0,5.0,992.0,3200.0
CP-AD-8510994,https://www.chileautos.cl/vehiculos/detalles/2019-ford-f-150-5-0-4x4/CP-AD-8510994,,,,,,,,,,,,,,,,
GI-AD-897234,https://www.chileautos.cl/vehiculos/detalles/ford-ranger-2026-ltd-4x4-3-0-aut/GI-AD-897234,,,,,,,,,,,,,,,,
GI-AD-895527,https://www.chileautos.cl/vehiculos/detalles/chevrolet-silverado-2025-3-0-high-country-4x4-at-4p/GI-AD-895527,,,,,,,,,,,,,,,,
CP-AD-8512957,https://www.chileautos.cl/vehiculos/detalles/2021-peugeot-2008-1-2-active-puretech-4x2-130-mt-5p/CP-AD-8512957,1.2 ACTIVE PURETECH 4X2 130 MT 5P,1199.0,1.2,130.0,230.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Manual,Mecánico,Bencina,5.0,5.0,3.0,915.0,1712.0
CP-AD-8486198,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-silverado-5-3-lt-r-trail-boss-z71-4x4-at-4p/CP-AD-8486198,5.3 LT R TRAIL BOSS Z71 4X4 AT 4P,5300.0,5.3,355.0,518.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,728.0,3130.0
CL-AD-20426746,https://www.chileautos.cl/vehiculos/detalles/2023-peugeot-3008-1-5-allure-pack-bluehdi-130-4x2-eat8-5p/CL-AD-20426746,1.5 ALLURE PACK BLUEHDI 130 4X2 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1362.0,1429.0
CL-AD-20469274,https://www.chileautos.cl/vehiculos/detalles/2019-peugeot-3008-1-5-active-bluehdi-4x2-130-mt6-5p/CL-AD-20469274,1.5 ACTIVE BLUEHDI 4X2 130 MT6 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Manual,Mecánico,Diesel,5.0,5.0,4.0,1372.0,1429.0
CL-AD-20429965,https://www.chileautos.cl/vehiculos/detalles/2019-ford-explorer-3-5-xlt-4x2-at-5p/CL-AD-20429965,3.5 XLT 4X2 AT 5P,3500.0,3.5,290.0,345.0,"SUV, 5 puertas, 7 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,7.0,,602.0,2022.0
