id,url,marca,modelo,version,año,entidad,traccion,condicion,kilometraje,transmision,combustible,moneda,precio,precio_previo,primera_vez,ultima_vez,veces_visto,activo,telefono,whatsapp
CP-AD-8520705,https://www.chileautos.cl/vehiculos/detalles/2023-jaguar-f-pace-2-0-awd/CP-AD-8520705,jaguar,f-pace,2.0 awd,2023,Automotora,4x2,used,18700,automatica,bencina,CLP,39700000,,2026-07-07,2026-07-08,5,1,+56228691844,+56228691844
CP-AD-8543162,https://www.chileautos.cl/vehiculos/detalles/2024-jeep-grand-cherokee-3-6-limited-l-4wd-3row-at-5p/CP-AD-8543162,jeep,grand cherokee,cherokee 3.6 limited l 4wd 3row at 5p.,2024,Automotora,4x4,used,35000,automatica,bencina,CLP,43860000,,2026-07-07,2026-07-08,5,1,+56228698671,+56228698671
CP-AD-8543141,https://www.chileautos.cl/vehiculos/detalles/2025-ram-3500-laramie/CP-AD-8543141,ram,3500,laramie ,2025,Automotora,4x2,used,300,automatica,diesel,CLP,113000000,,2026-07-07,2026-07-08,4,1,+56226564776,+56226564776
CP-AD-8542101,https://www.chileautos.cl/vehiculos/detalles/2020-mercedes-benz-glc-220-d-glc-220d-2-1-4matic/CP-AD-8542101,mercedes-benz,glc 220 d,220 d glc 220d 2.1 4matic,2020,Automotora,4x2,used,43000,automatica,diesel,CLP,32990000,,2026-07-07,2026-07-08,5,1,+56226587093,+56226587093
CP-AD-8524756,https://www.chileautos.cl/vehiculos/detalles/2023-jaguar-i-pace-electrico-hse-awd-at-5p/CP-AD-8524756,jaguar,i-pace,electrico hse awd at 5p.,2023,Automotora,4x2,used,24500,automatica,eléctrico,CLP,46700000,,2026-07-07,2026-07-08,5,1,+56228691844,+56228691844
CP-AD-8531233,https://www.chileautos.cl/vehiculos/detalles/2023-hyundai-santa-fe-2-5-value-fl-4wd-at-5p/CP-AD-8531233,hyundai,santa fe,fe 2.5 value fl 4wd at 5p.,2023,Automotora,4x4,used,98000,automatica,bencina,CLP,21390000,,2026-07-07,2026-07-08,5,1,+56228698407,+56228698407
CP-AD-8488467,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-n400-max-1-5l-mt-ac/CP-AD-8488467,chevrolet,n400 max,max 1.5l mt ac,2026,Automotora,4x2,used,0,manual,bencina,CLP,10160000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8488471,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-suburban-suburban-5-3l-z71-at-4wd/CP-AD-8488471,chevrolet,suburban,suburban 5.3l z71 at 4wd,2026,Automotora,4x4,used,0,automatica,bencina,CLP,64360000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8522873,https://www.chileautos.cl/vehiculos/detalles/2025-geely-starray-2-0-signature-2wd-at-5p/CP-AD-8522873,geely,starray,2.0 signature 2wd at 5p.,2025,Automotora,4x2,used,7162,automatica,bencina,CLP,20990000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8539999,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-1-8-seg-4x2-cvt-at-4p/CP-AD-8539999,toyota,corolla,1.8 seg 4x2 cvt at 4p.,2022,Automotora,4x2,used,72000,automatica,híbrido,CLP,17490000,,2026-07-07,2026-07-08,5,1,+56228698407,+56228698407
CP-AD-8488481,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-groove-1-5-rs-mt/CP-AD-8488481,chevrolet,groove,1.5 rs mt,2026,Automotora,4x2,used,0,manual,bencina,CLP,13190000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8488761,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-groove-1-5t-rs-cvt/CP-AD-8488761,chevrolet,groove,1.5t rs cvt,2026,Automotora,4x2,used,0,automatica,bencina,CLP,15190000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8526688,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-sail-sedan-lt-mt-t/CP-AD-8526688,chevrolet,sail,sedan lt mt t,2026,Automotora,4x2,used,0,manual,bencina,CLP,9790000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8542011,https://www.chileautos.cl/vehiculos/detalles/2011-audi-a5-2-0-sportback-4x2-at-5p/CP-AD-8542011,audi,a5,2.0 sportback 4x2 at 5p.,2011,Automotora,4x2,used,166230,automatica,bencina,CLP,12980000,,2026-07-07,2026-07-07,1,1,+56226587095,+56226587095
CP-AD-8542375,https://www.chileautos.cl/vehiculos/detalles/2024-volvo-ex30-electrico-core-e60-4x2-at-5p/CP-AD-8542375,volvo,ex30,electrico core e60 4x2 at 5p.,2024,Automotora,4x2,used,44000,automatica,eléctrico,CLP,27490000,,2026-07-07,2026-07-08,5,1,+56226587078,+56226587078
CP-AD-8511101,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-equinox-ev-equinox-ev-eawd-ltz/CP-AD-8511101,chevrolet,equinox ev,ev equinox ev eawd ltz,2026,Automotora,4x2,used,0,automatica,eléctrico,CLP,41990000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8537415,https://www.chileautos.cl/vehiculos/detalles/2016-mini-f56-1-5/CP-AD-8537415,mini,f56,1.5,2016,Automotora,4x2,used,138114,manual,bencina,CLP,9990000,,2026-07-07,2026-07-08,4,1,+56228698680,+56228698680
CP-AD-8541155,https://www.chileautos.cl/vehiculos/detalles/2021-chevrolet-colorado-2-8-ctdi-4x4-hc-at-4p/CP-AD-8541155,chevrolet,colorado,2.8 ctdi 4x4 hc at 4p.,2021,Automotora,4x4,used,112431,automatica,diesel,CLP,22900000,,2026-07-07,2026-07-07,1,1,+56226587014,+56226587014
CP-AD-8536736,https://www.chileautos.cl/vehiculos/detalles/2025-peugeot-3008-gt-hybrid4-4x4-300-hp-1-6t-at/CP-AD-8536736,peugeot,3008,gt hybrid4 4x4 300 hp 1.6t at,2025,Automotora,4x4,used,21000,automatica,híbrido,CLP,25990000,,2026-07-07,2026-07-08,5,1,+56228698462,+56228698462
CP-AD-8538325,https://www.chileautos.cl/vehiculos/detalles/2023-bmw-m550-m550/CP-AD-8538325,bmw,m550,m550,2024,Automotora,4x2,used,33123,automatica,bencina,CLP,69950000,,2026-07-07,2026-07-08,5,1,+56226567558,+56226567558
CP-AD-8541774,https://www.chileautos.cl/vehiculos/detalles/2018-toyota-rav4-2-0-lujo-4x2-cvt-at-5p/CP-AD-8541774,toyota,rav4,2.0 lujo 4x2 cvt at 5p.,2018,Automotora,4x2,used,83000,automatica,bencina,CLP,14490000,,2026-07-07,2026-07-08,5,1,+56228698490,+56228698490
CP-AD-8543180,https://www.chileautos.cl/vehiculos/detalles/2023-nissan-x-trail-2-5-sense-mc-4x2-cvt-at-5p/CP-AD-8543180,nissan,x-trail,2.5 sense mc 4x2 cvt at 5p.,2023,Automotora,4x2,used,55000,automatica,bencina,CLP,16990000,,2026-07-07,2026-07-08,5,1,+56228698462,+56228698462
CP-AD-8530074,https://www.chileautos.cl/vehiculos/detalles/2020-bmw-x1-2-0-s-drive-18d-millenial-diesel-4x2-at-5p/CP-AD-8530074,bmw,x1,2.0 s-drive 18d millenial diesel 4x2 at 5p.,2020,Automotora,4x2,used,87769,automatica,diesel,CLP,21900000,,2026-07-07,2026-07-08,4,1,+56226586348,+56226586348
CP-AD-8533067,https://www.chileautos.cl/vehiculos/detalles/2023-bmw-x3-2-0-20i-heritage-s-drive-4x2-at-5p/CP-AD-8533067,bmw,x3,2.0 20i heritage s-drive 4x2 at 5p.,2023,Automotora,4x2,used,40000,automatica,bencina,CLP,36480000,,2026-07-07,2026-07-08,5,1,+56228691620,+56228691620
GI-AD-885160,https://www.chileautos.cl/vehiculos/detalles/subaru-outback-2023-touring-awd-cvt-at-5p/GI-AD-885160,subaru,outback,touring awd cvt at 5p,2023,Automotora,4x2,used,80000,automatica,bencina,CLP,24990000,,2026-07-07,2026-07-08,5,1,+56228691628,+56228691628
GI-AD-893920,https://www.chileautos.cl/vehiculos/detalles/ford-territory-2025-1-5-titanium-4x2-at-5p/GI-AD-893920,ford,territory,1.5 titanium 4x2 at 5p,2025,Automotora,4x2,used,10064,automatica,bencina,CLP,18490000,,2026-07-07,2026-07-08,5,1,+56226586315,+56226586315
CP-AD-8538844,https://www.chileautos.cl/vehiculos/detalles/2022-ram-700-bighorn-cd-1-4/CP-AD-8538844,ram,700,bighorn cd 1.4,2022,Automotora,4x2,used,75480,manual,bencina,CLP,12880000,,2026-07-07,2026-07-08,5,1,+56228698666,+56228698666
CP-AD-8541132,https://www.chileautos.cl/vehiculos/detalles/2023-skoda-karoq-1-4-tsi-ambition-4x2-at-5p/CP-AD-8541132,skoda,karoq,1.4 tsi ambition 4x2 at 5p.,2023,Automotora,4x2,used,52416,automatica,bencina,CLP,16490000,16990000,2026-07-07,2026-07-08,5,1,+56226586951,+56226586951
CP-AD-8543135,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-rav4-2-0-le-4x2-cvt-at-5p/CP-AD-8543135,toyota,rav4,2.0 le 4x2 cvt at 5p.,2022,Automotora,4x2,used,54000,automatica,bencina,CLP,19800000,,2026-07-07,2026-07-08,5,1,+56228698634,+56228698634
CP-AD-8542188,https://www.chileautos.cl/vehiculos/detalles/2024-ford-ranger-raptor-3-0-dc-auto-4wd-at/CP-AD-8542188,ford,ranger raptor,raptor 3.0 dc auto 4wd at,2024,Automotora,4x4,used,24890,automatica,bencina,CLP,47990000,48990000,2026-07-07,2026-07-08,5,1,+56226586951,+56226586951
CP-AD-8542754,https://www.chileautos.cl/vehiculos/detalles/2024-peugeot-2008-1-5-allure-pack-bluehdi-130hp-diesel-4x2-eat8-5p/CP-AD-8542754,peugeot,2008,1.5 allure pack bluehdi 130hp diesel 4x2 eat8 5p.,2024,Automotora,4x2,used,42000,automatica,diesel,CLP,16990000,,2026-07-07,2026-07-08,5,1,+56226586183,+56226586183
CP-AD-8513353,https://www.chileautos.cl/vehiculos/detalles/2025-chevrolet-colorado-2-8-high-country-diesel-4wd-at-4p/CP-AD-8513353,chevrolet,colorado,2.8 high country diesel 4wd at 4p.,2025,Automotora,4x4,used,29290,automatica,diesel,CLP,36990000,,2026-07-07,2026-07-08,5,1,+56228698675,+56228698675
GI-AD-876635,https://www.chileautos.cl/vehiculos/detalles/bmw-120-120i-sport-lci-2-0-aut-2017/GI-AD-876635,bmw,120,sport lci 2.0 aut 2017,2017,Automotora,4x2,used,94000,automatica,bencina,CLP,15990000,,2026-07-07,2026-07-08,4,1,+56226587071,+56226587071
CP-AD-8531210,https://www.chileautos.cl/vehiculos/detalles/2018-jeep-wrangler-3-6-sport-4wd-at-3p/CP-AD-8531210,jeep,wrangler,3.6 sport 4wd at 3p.,2018,Automotora,4x4,used,45000,automatica,bencina,CLP,30980000,,2026-07-07,2026-07-08,5,1,+56226586347,+56226586347
CP-AD-8538769,https://www.chileautos.cl/vehiculos/detalles/2020-subaru-forester-2-0i-limited-eyesight-awd-at-5p/CP-AD-8538769,subaru,forester,2.0i limited eyesight awd at 5p.,2020,Automotora,4x2,used,35181,automatica,bencina,CLP,21900000,,2026-07-07,2026-07-08,5,1,+56226586348,+56226586348
CP-AD-8539439,https://www.chileautos.cl/vehiculos/detalles/2017-subaru-forester-2-0i-xs-awd-cvt-at-5p/CP-AD-8539439,subaru,forester,2.0i xs awd cvt at 5p.,2017,Automotora,4x2,used,203000,automatica,bencina,CLP,10990000,,2026-07-07,2026-07-08,5,1,+56226586326,+56226586326
